TournamentID,Name,StartDate,EndDate,IsOver,IsInProgress,Venue,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,Rounds
576,The Presidents Cup,2024-09-26T00:00:00,2024-09-29T00:00:00,False,False,The Royal Montreal Golf Club,Montreal,,,,,False,False,Quebec,,,Canada,,TeamMatch,,Limited,[]
614,TOUR Championship,2024-08-29T00:00:00,2024-09-01T00:00:00,False,False,East Lake Golf Club,"Atlanta, GA",,,,,,True,Atlanta,GA,,USA,America/New York,Stroke,,Full,[]
613,BMW Championship,2024-08-22T00:00:00,2024-08-25T00:00:00,False,False,Castle Pines Golf Club,"Castle Rock, CO",,,,,,True,Castle Rock,CO,,USA,America/Denver,Stroke,,Full,[]
612,FedEx St. Jude Championship,2024-08-15T00:00:00,2024-08-18T00:00:00,False,False,TPC Southwind,"Memphis, TN",,,,,,True,Memphis,TN,,USA,America/Chicago,Stroke,,Full,[]
611,Wyndham Championship,2024-08-08T00:00:00,2024-08-11T00:00:00,False,False,Sedgefield Country Club,"Greensboro, NC",,,,,,True,Greensboro,NC,,USA,America/New York,Stroke,,Full,[]
610,3M Open,2024-07-25T00:00:00,2024-07-28T00:00:00,False,False,TPC Twin Cities,"Blaine, MN",,,,,,True,Blaine,MN,,USA,America/Chicago,Stroke,,Full,[]
581,The Open,2024-07-18T00:00:00,2024-07-21T00:00:00,False,False,Royal Troon,"Troon, South Ayrshire, Sco",,,,,False,True,"Troon, South Ayrshire",,,SCO,Europe/London,Stroke,,Full,[]
609,Barracuda Championship,2024-07-18T00:00:00,2024-07-21T00:00:00,False,False,Tahoe Mountain Club (Old Greenwood),"Truckee, CA",,,,,,False,Truckee,CA,,USA,America/Los Angeles,Stableford,,Limited,[]
608,Genesis Scottish Open,2024-07-11T00:00:00,2024-07-14T00:00:00,False,False,The Renaissance Club,"North Berwick, Sco",,,,,,True,North Berwick,,,SCO,Europe/London,Stroke,,Full,[]
607,John Deere Classic,2024-07-04T00:00:00,2024-07-07T00:00:00,False,False,TPC Deere Run,"Silvis, IL",,,,,,True,Silvis,IL,,USA,America/Chicago,Stroke,,Full,[]
606,Rocket Mortgage Classic,2024-06-27T00:00:00,2024-06-30T00:00:00,False,False,Detroit Golf Club,"Detroit, MI",,,,,,True,Detroit,MI,,USA,America/New York,Stroke,,Full,[]
605,Travelers Championship,2024-06-20T00:00:00,2024-06-23T00:00:00,False,False,TPC River Highlands,"Cromwell, CT",,,,,,True,Cromwell,CT,,USA,America/New York,Stroke,,Full,[]
578,U.S. Open,2024-06-13T00:00:00,2024-06-16T00:00:00,False,False,Pinehurst Resort & Country Club (Course No. 2),"Village of Pinehurst, NC",,,,,False,True,Village of Pinehurst,NC,,USA,America/New York,Stroke,,Full,[]
604,the Memorial Tournament presented by Workday,2024-06-06T00:00:00,2024-06-09T00:00:00,False,False,Muirfield Village Golf Club,"Dublin, OH",,,,,,True,Dublin,OH,,USA,America/New York,Stroke,,Full,[]
603,RBC Canadian Open,2024-05-30T00:00:00,2024-06-02T00:00:00,False,False,Hamilton Golf & Country Club,"Hamilton, ON, Can",,,,,,True,"Hamilton, ON",,,CAN,America/Toronto,Stroke,,Full,[]
602,Charles Schwab Challenge,2024-05-23T00:00:00,2024-05-26T00:00:00,False,False,Colonial Country Club,"Fort Worth, TX",,,,,,True,Fort Worth,TX,,USA,America/Chicago,Stroke,,Full,[]
577,PGA Championship,2024-05-16T00:00:00,2024-05-19T00:00:00,False,False,Valhalla Golf Club,"Louisville, KY",72.0,7458.0,,,False,True,Louisville,KY,,USA,America/New York,Stroke,,Full,[]
600,Myrtle Beach Classic,2024-05-09T00:00:00,2024-05-12T00:00:00,False,False,The Dunes Golf and Beach Club,"Myrtle Beach, SC",,,,,,True,Myrtle Beach,SC,,USA,America/New York,Stroke,,Full,[]
601,Wells Fargo Championship,2024-05-09T00:00:00,2024-05-12T00:00:00,False,False,Quail Hollow Club,"Charlotte, NC",,,,,,True,Charlotte,NC,,USA,America/New York,Stroke,,Full,[]
599,AT&T Byron Nelson,2024-05-02T00:00:00,2024-05-05T00:00:00,False,False,TPC Craig Ranch,"McKinney, TX",,,,,,True,McKinney,TX,,USA,America/Chicago,Stroke,,Full,[]
598,Zurich Classic of New Orleans,2024-04-25T00:00:00,2024-04-28T00:00:00,False,False,TPC Louisiana,"Avondale, LA",,,,,,False,Avondale,LA,,USA,America/Chicago,Team,,Limited,[]
596,Corales Puntacana Championship,2024-04-18T00:00:00,2024-04-21T00:00:00,False,False,Puntacana Resort & Club (Corales Golf Course),"Punta Cana, Dom",,,,,,True,Punta Cana,,,DOM,America/Dominica,Stroke,,Full,[]
597,RBC Heritage,2024-04-18T00:00:00,2024-04-21T00:00:00,False,False,Harbour Town Golf Links,"Hilton Head Island, SC",,,,,,True,Hilton Head Island,SC,,USA,America/New York,Stroke,,Full,[]
575,Masters Tournament,2024-04-11T00:00:00,2024-04-14T00:00:00,False,False,Augusta National Golf Club,"Augusta, GA",,,,,False,True,Augusta,GA,,USA,America/New York,Stroke,,Full,[]
595,Valero Texas Open,2024-04-04T00:00:00,2024-04-07T00:00:00,False,False,TPC San Antonio (Oaks Course),"San Antonio, TX",,,,,,True,San Antonio,TX,,USA,America/Chicago,Stroke,,Full,[]
615,Texas Children's Houston Open,2024-03-28T00:00:00,2024-03-31T00:00:00,False,False,Memorial Park Golf Course,"Houston, TX",,,,,,True,Houston,TX,,USA,America/Chicago,Stroke,,Full,[]
594,Valspar Championship,2024-03-21T00:00:00,2024-03-24T00:00:00,False,False,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",,,,,,True,Palm Harbor,FL,,USA,America/New York,Stroke,,Full,[]
593,THE PLAYERS Championship,2024-03-14T00:00:00,2024-03-17T00:00:00,False,False,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",,,,,,True,Ponte Vedra Beach,FL,,USA,America/New York,Stroke,,Full,[]
591,Puerto Rico Open,2024-03-07T00:00:00,2024-03-10T00:00:00,False,False,Grand Reserve Golf Club,"Rio Grande, Pur",,,,,,True,Rio Grande,,,PUR,America/Puerto Rico,Stroke,,Full,[]
592,Arnold Palmer Invitational presented by Mastercard,2024-03-07T00:00:00,2024-03-10T00:00:00,False,False,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",,,,,,True,Orlando,FL,,USA,America/New York,Stroke,,Full,[]
590,The Classic in The Palm Beaches,2024-02-29T00:00:00,2024-03-03T00:00:00,False,False,PGA National Resort (The Champion),"Palm Beach Gardens, FL",,,,,,True,Palm Beach Gardens,FL,,USA,America/New York,Stroke,,Full,[]
589,Mexico Open at Vidanta,2024-02-22T00:00:00,2024-02-25T00:00:00,False,False,Vidanta Vallarta,"Vallarta, Mex",,,,,,True,Vallarta,,,MEX,America/Mexico City,Stroke,,Full,[]
588,The Genesis Invitational,2024-02-15T00:00:00,2024-02-18T00:00:00,False,False,The Riviera Country Club,"Pacific Palisades, CA",,,,,,True,Pacific Palisades,CA,,USA,America/Los Angeles,Stroke,,Full,[]
587,WM Phoenix Open,2024-02-08T00:00:00,2024-02-11T00:00:00,False,False,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",,,,,,True,Scottsdale,AZ,,USA,America/Phoenix,Stroke,,Full,[]
586,AT&T Pebble Beach Pro-Am,2024-02-01T00:00:00,2024-02-04T00:00:00,False,False,Pebble Beach Golf Links,"Pebble Beach, CA",,,,,,True,Pebble Beach,CA,,USA,America/Los Angeles,Stroke,,Full,[]
585,Farmers Insurance Open,2024-01-24T00:00:00,2024-01-27T00:00:00,False,False,Torrey Pines Golf Course (South Course),"San Diego, CA",,,,,,True,San Diego,CA,,USA,America/Los Angeles,Stroke,,Full,[]
584,The American Express,2024-01-18T00:00:00,2024-01-21T00:00:00,False,False,Pete Dye Stadium Course,"La Quinta, CA",,,,,,True,La Quinta,CA,,USA,America/Los Angeles,Stroke,,Full,[]
583,Sony Open in Hawaii,2024-01-11T00:00:00,2024-01-14T00:00:00,False,False,Waialae Country Club,"Honolulu, HI",,,,,,True,Honolulu,HI,,USA,Pacific/Honolulu,Stroke,,Full,[]
582,The Sentry,2024-01-04T00:00:00,2024-01-07T00:00:00,False,False,Plantation Course at Kapalua,"Kapalua, Maui, HI",,,,,,True,"Kapalua, Maui",HI,,USA,Pacific/Honolulu,Stroke,,Full,[]
564,Hero World Challenge,2023-11-30T00:00:00,2023-12-03T00:00:00,False,False,Albany,"New Providence, Bah",72.0,7449.0,3500000.0,,False,True,New Providence,,,BAH,America/New York,Stroke,,Full,"[{'TournamentID': 564, 'RoundID': 23172, 'Number': 1, 'Day': '2023-11-30T00:00:00'}, {'TournamentID': 564, 'RoundID': 23173, 'Number': 2, 'Day': '2023-12-01T00:00:00'}, {'TournamentID': 564, 'RoundID': 23174, 'Number': 3, 'Day': '2023-12-02T00:00:00'}, {'TournamentID': 564, 'RoundID': 23175, 'Number': 4, 'Day': '2023-12-03T00:00:00'}]"
565,The RSM Classic,2023-11-16T00:00:00,2023-11-19T00:00:00,False,False,Sea Island Golf Club (Seaside Course),"St. Simons Island, GA",70.0,7005.0,8400000.0,,False,True,St. Simons Island,GA,,USA,America/New York,Stroke,,Full,"[{'TournamentID': 565, 'RoundID': 23168, 'Number': 1, 'Day': '2023-11-16T00:00:00'}, {'TournamentID': 565, 'RoundID': 23169, 'Number': 2, 'Day': '2023-11-17T00:00:00'}, {'TournamentID': 565, 'RoundID': 23170, 'Number': 3, 'Day': '2023-11-18T00:00:00'}, {'TournamentID': 565, 'RoundID': 23171, 'Number': 4, 'Day': '2023-11-19T00:00:00'}]"
566,Cadence Bank Houston Open,2023-11-10T00:00:00,2023-11-13T00:00:00,False,False,Memorial Park Golf Course,,,,,,True,False,,,,,,,,None,[]
568,Butterfield Bermuda Championship,2023-11-09T00:00:00,2023-11-12T00:00:00,False,False,Port Royal Golf Course,"Southampton, Ber",71.0,6828.0,6500000.0,,False,True,Southampton,,,BER,Atlantic/Bermuda,Stroke,,Full,"[{'TournamentID': 568, 'RoundID': 23164, 'Number': 1, 'Day': '2023-11-09T00:00:00'}, {'TournamentID': 568, 'RoundID': 23165, 'Number': 2, 'Day': '2023-11-10T00:00:00'}, {'TournamentID': 568, 'RoundID': 23166, 'Number': 3, 'Day': '2023-11-11T00:00:00'}, {'TournamentID': 568, 'RoundID': 23167, 'Number': 4, 'Day': '2023-11-12T00:00:00'}]"
567,World Wide Technology Championship at Mayakoba,2023-11-02T00:00:00,2023-11-05T00:00:00,False,False,El Cardonal at Diamante,"Los Cabos, Mex",71.0,7034.0,8200000.0,,False,True,Los Cabos,,,MEX,America/Los Angeles,Stroke,,Full,"[{'TournamentID': 567, 'RoundID': 23160, 'Number': 1, 'Day': '2023-11-02T00:00:00'}, {'TournamentID': 567, 'RoundID': 23161, 'Number': 2, 'Day': '2023-11-03T00:00:00'}, {'TournamentID': 567, 'RoundID': 23162, 'Number': 3, 'Day': '2023-11-04T00:00:00'}, {'TournamentID': 567, 'RoundID': 23163, 'Number': 4, 'Day': '2023-11-05T00:00:00'}]"
569,THE CJ CUP in South Carolina,2023-10-20T00:00:00,2023-10-23T00:00:00,False,False,Congaree Golf Club,,,,,,True,False,,,,,,,,None,[]
570,ZOZO CHAMPIONSHIP,2023-10-19T00:00:00,2023-10-22T00:00:00,False,False,Accordia Golf Narashino Country Club,"Chiba, Jpn",70.0,7079.0,8500000.0,,False,True,Chiba,,,JPN,Asia/Tokyo,Stroke,,Full,"[{'TournamentID': 570, 'RoundID': 23153, 'Number': 1, 'Day': '2023-10-19T00:00:00'}, {'TournamentID': 570, 'RoundID': 23154, 'Number': 2, 'Day': '2023-10-20T00:00:00'}, {'TournamentID': 570, 'RoundID': 23155, 'Number': 3, 'Day': '2023-10-21T00:00:00'}, {'TournamentID': 570, 'RoundID': 23156, 'Number': 4, 'Day': '2023-10-22T00:00:00'}]"
571,Shriners Children's Open,2023-10-12T00:00:00,2023-10-15T00:00:00,False,False,TPC Summerlin,"Las Vegas, NV",71.0,7255.0,8400000.0,,False,True,Las Vegas,NV,,USA,America/Los Angeles,Stroke,,Full,"[{'TournamentID': 571, 'RoundID': 23149, 'Number': 1, 'Day': '2023-10-12T00:00:00'}, {'TournamentID': 571, 'RoundID': 23150, 'Number': 2, 'Day': '2023-10-13T00:00:00'}, {'TournamentID': 571, 'RoundID': 23151, 'Number': 3, 'Day': '2023-10-14T00:00:00'}, {'TournamentID': 571, 'RoundID': 23152, 'Number': 4, 'Day': '2023-10-15T00:00:00'}]"
572,Sanderson Farms Championship,2023-10-05T00:00:00,2023-10-08T00:00:00,False,False,The Country Club of Jackson,"Jackson, MS",72.0,7461.0,8200000.0,,False,True,Jackson,MS,,USA,America/Chicago,Stroke,,Full,"[{'TournamentID': 572, 'RoundID': 23145, 'Number': 1, 'Day': '2023-10-05T00:00:00'}, {'TournamentID': 572, 'RoundID': 23146, 'Number': 2, 'Day': '2023-10-06T00:00:00'}, {'TournamentID': 572, 'RoundID': 23147, 'Number': 3, 'Day': '2023-10-07T00:00:00'}, {'TournamentID': 572, 'RoundID': 23148, 'Number': 4, 'Day': '2023-10-08T00:00:00'}]"
514,Ryder Cup,2023-09-29T00:00:00,2023-10-01T00:00:00,False,False,Marco Simone Golf & Country Club,"Rome, Ita",,,,,False,False,Rome,,,ITA,Europe/Paris,TeamMatch,,Limited,"[{'TournamentID': 514, 'RoundID': 23157, 'Number': 1, 'Day': '2023-09-29T00:00:00'}, {'TournamentID': 514, 'RoundID': 23158, 'Number': 2, 'Day': '2023-09-30T00:00:00'}, {'TournamentID': 514, 'RoundID': 23159, 'Number': 3, 'Day': '2023-10-01T00:00:00'}]"
573,The Presidents Cup,2023-09-22T00:00:00,2023-09-25T00:00:00,False,False,Quail Hollow Club,,,,,,True,False,,,,,,,,None,[]
574,Fortinet Championship,2023-09-14T00:00:00,2023-09-17T00:00:00,False,False,Silverado Resort (North Course),"Napa, CA",72.0,7123.0,8400000.0,,False,True,Napa,CA,,USA,America/Los Angeles,Stroke,,Full,"[{'TournamentID': 574, 'RoundID': 23144, 'Number': 4, 'Day': '2023-09-17T00:00:00'}, {'TournamentID': 574, 'RoundID': 23141, 'Number': 1, 'Day': '2023-09-14T00:00:00'}, {'TournamentID': 574, 'RoundID': 23142, 'Number': 2, 'Day': '2023-09-15T00:00:00'}, {'TournamentID': 574, 'RoundID': 23143, 'Number': 3, 'Day': '2023-09-16T00:00:00'}]"
563,Tour Championship,2023-08-24T00:00:00,2023-08-27T00:00:00,False,False,East Lake Golf Club,"Atlanta, GA",70.0,7346.0,,,False,True,Atlanta,GA,,USA,America/New York,Stroke,,Full,"[{'TournamentID': 563, 'RoundID': 19774, 'Number': 1, 'Day': '2023-08-24T00:00:00'}, {'TournamentID': 563, 'RoundID': 19775, 'Number': 2, 'Day': '2023-08-25T00:00:00'}, {'TournamentID': 563, 'RoundID': 19776, 'Number': 3, 'Day': '2023-08-26T00:00:00'}, {'TournamentID': 563, 'RoundID': 19777, 'Number': 4, 'Day': '2023-08-27T00:00:00'}]"
562,BMW Championship,2023-08-17T00:00:00,2023-08-20T00:00:00,False,False,Olympia Fields Country Club (North Course),"Olympia Fields, IL",70.0,7366.0,20000000.0,2023-08-17T09:26:00,False,True,Olympia Fields,IL,,USA,America/Chicago,Stroke,62335a36-7fd7-41d7-a729-30ded11fcd9c,Full,"[{'TournamentID': 562, 'RoundID': 19770, 'Number': 1, 'Day': '2023-08-17T00:00:00'}, {'TournamentID': 562, 'RoundID': 19771, 'Number': 2, 'Day': '2023-08-18T00:00:00'}, {'TournamentID': 562, 'RoundID': 19772, 'Number': 3, 'Day': '2023-08-19T00:00:00'}, {'TournamentID': 562, 'RoundID': 19773, 'Number': 4, 'Day': '2023-08-20T00:00:00'}]"
561,FedEx St. Jude Championship,2023-08-10T00:00:00,2023-08-13T00:00:00,True,False,TPC Southwind,"Memphis, TN",70.0,7243.0,20000000.0,2023-08-10T08:50:00,False,True,Memphis,TN,,USA,America/Chicago,Stroke,,Full,"[{'TournamentID': 561, 'RoundID': 19766, 'Number': 1, 'Day': '2023-08-10T00:00:00'}, {'TournamentID': 561, 'RoundID': 19767, 'Number': 2, 'Day': '2023-08-11T00:00:00'}, {'TournamentID': 561, 'RoundID': 19768, 'Number': 3, 'Day': '2023-08-12T00:00:00'}, {'TournamentID': 561, 'RoundID': 19769, 'Number': 4, 'Day': '2023-08-13T00:00:00'}]"
560,Wyndham Championship,2023-08-03T00:00:00,2023-08-06T00:00:00,True,False,Sedgefield Country Club,"Greensboro, NC",70.0,7131.0,7600000.0,2023-08-03T06:50:00,False,True,Greensboro,NC,,USA,America/New York,Stroke,ba485e45-67e1-42bd-832f-4178fba750cc,Full,"[{'TournamentID': 560, 'RoundID': 19762, 'Number': 1, 'Day': '2023-08-03T00:00:00'}, {'TournamentID': 560, 'RoundID': 19763, 'Number': 2, 'Day': '2023-08-04T00:00:00'}, {'TournamentID': 560, 'RoundID': 19764, 'Number': 3, 'Day': '2023-08-05T00:00:00'}, {'TournamentID': 560, 'RoundID': 19765, 'Number': 4, 'Day': '2023-08-06T00:00:00'}]"
559,3M Open,2023-07-27T00:00:00,2023-07-30T00:00:00,True,False,TPC Twin Cities,"Blaine, MN",71.0,7431.0,7800000.0,2023-07-27T07:45:00,False,True,Blaine,MN,,USA,America/Chicago,Stroke,704576a7-e3be-4958-984d-0c5784af55b7,Full,"[{'TournamentID': 559, 'RoundID': 19758, 'Number': 1, 'Day': '2023-07-27T00:00:00'}, {'TournamentID': 559, 'RoundID': 19759, 'Number': 2, 'Day': '2023-07-28T00:00:00'}, {'TournamentID': 559, 'RoundID': 19760, 'Number': 3, 'Day': '2023-07-29T00:00:00'}, {'TournamentID': 559, 'RoundID': 19761, 'Number': 4, 'Day': '2023-07-30T00:00:00'}]"
557,Barracuda Championship,2023-07-20T00:00:00,2023-07-23T00:00:00,False,False,Tahoe Mountain Club (Old Greenwood),"Truckee, CA",71.0,7480.0,3800000.0,,False,False,Truckee,CA,,USA,America/Los Angeles,Stableford,5a5c1dfe-b4d6-4106-8794-c623c6dd01e2,Limited,"[{'TournamentID': 557, 'RoundID': 19750, 'Number': 1, 'Day': '2023-07-20T00:00:00'}, {'TournamentID': 557, 'RoundID': 19751, 'Number': 2, 'Day': '2023-07-21T00:00:00'}, {'TournamentID': 557, 'RoundID': 19752, 'Number': 3, 'Day': '2023-07-22T00:00:00'}, {'TournamentID': 557, 'RoundID': 19753, 'Number': 4, 'Day': '2023-07-23T00:00:00'}]"
558,The Open,2023-07-20T00:00:00,2023-07-23T00:00:00,True,False,Royal Liverpool,"Hoylake, Wirral, Eng",71.0,7383.0,16500000.0,2023-07-20T01:35:00,False,True,"Hoylake, Wirral",,,ENG,Europe/London,Stroke,,Full,"[{'TournamentID': 558, 'RoundID': 19754, 'Number': 1, 'Day': '2023-07-20T00:00:00'}, {'TournamentID': 558, 'RoundID': 19755, 'Number': 2, 'Day': '2023-07-21T00:00:00'}, {'TournamentID': 558, 'RoundID': 19756, 'Number': 3, 'Day': '2023-07-22T00:00:00'}, {'TournamentID': 558, 'RoundID': 19757, 'Number': 4, 'Day': '2023-07-23T00:00:00'}]"
555,Barbasol Championship,2023-07-13T00:00:00,2023-07-16T00:00:00,True,False,Keene Trace Golf Club (Champions Course),"Nicholasville, KY",72.0,7328.0,3800000.0,2023-07-13T06:45:00,False,True,Nicholasville,KY,,USA,America/New York,Stroke,53cf1088-f9b4-424e-ab11-9a1cdd4eb7c2,Full,"[{'TournamentID': 555, 'RoundID': 19742, 'Number': 1, 'Day': '2023-07-13T00:00:00'}, {'TournamentID': 555, 'RoundID': 19743, 'Number': 2, 'Day': '2023-07-14T00:00:00'}, {'TournamentID': 555, 'RoundID': 19744, 'Number': 3, 'Day': '2023-07-15T00:00:00'}, {'TournamentID': 555, 'RoundID': 19745, 'Number': 4, 'Day': '2023-07-16T00:00:00'}]"
556,Genesis Scottish Open,2023-07-13T00:00:00,2023-07-16T00:00:00,True,False,The Renaissance Club,"North Berwick, Sco",70.0,7237.0,9000000.0,2023-07-13T02:15:00,False,True,North Berwick,,,SCO,Europe/London,Stroke,,Full,"[{'TournamentID': 556, 'RoundID': 19746, 'Number': 1, 'Day': '2023-07-13T00:00:00'}, {'TournamentID': 556, 'RoundID': 19747, 'Number': 2, 'Day': '2023-07-14T00:00:00'}, {'TournamentID': 556, 'RoundID': 19748, 'Number': 3, 'Day': '2023-07-15T00:00:00'}, {'TournamentID': 556, 'RoundID': 19749, 'Number': 4, 'Day': '2023-07-16T00:00:00'}]"
554,John Deere Classic,2023-07-06T00:00:00,2023-07-09T00:00:00,True,False,TPC Deere Run,"Silvis, IL",71.0,7289.0,7400000.0,2023-07-06T07:45:00,False,True,Silvis,IL,,USA,America/Chicago,Stroke,a84c6b54-ff8d-450d-863b-6727c1fb049c,Full,"[{'TournamentID': 554, 'RoundID': 19738, 'Number': 1, 'Day': '2023-07-06T00:00:00'}, {'TournamentID': 554, 'RoundID': 19739, 'Number': 2, 'Day': '2023-07-07T00:00:00'}, {'TournamentID': 554, 'RoundID': 19740, 'Number': 3, 'Day': '2023-07-08T00:00:00'}, {'TournamentID': 554, 'RoundID': 19741, 'Number': 4, 'Day': '2023-07-09T00:00:00'}]"
553,Rocket Mortgage Classic,2023-06-29T00:00:00,2023-07-02T00:00:00,True,False,Detroit Golf Club,"Detroit, MI",72.0,7370.0,8800000.0,2023-06-29T06:45:00,False,True,Detroit,MI,,USA,America/New York,Stroke,1014944f-c72e-4538-8129-2700d4e6787b,Full,"[{'TournamentID': 553, 'RoundID': 19734, 'Number': 1, 'Day': '2023-06-29T00:00:00'}, {'TournamentID': 553, 'RoundID': 19735, 'Number': 2, 'Day': '2023-06-30T00:00:00'}, {'TournamentID': 553, 'RoundID': 19736, 'Number': 3, 'Day': '2023-07-01T00:00:00'}, {'TournamentID': 553, 'RoundID': 19737, 'Number': 4, 'Day': '2023-07-02T00:00:00'}]"
552,Travelers Championship,2023-06-22T00:00:00,2023-06-25T00:00:00,True,False,TPC River Highlands,"Cromwell, CT",70.0,6852.0,20000000.0,2023-06-22T06:45:00,False,True,Cromwell,CT,,USA,America/New York,Stroke,e9f28105-17b5-41d2-9067-0ce874138e3c,Full,"[{'TournamentID': 552, 'RoundID': 19730, 'Number': 1, 'Day': '2023-06-22T00:00:00'}, {'TournamentID': 552, 'RoundID': 19731, 'Number': 2, 'Day': '2023-06-23T00:00:00'}, {'TournamentID': 552, 'RoundID': 19732, 'Number': 3, 'Day': '2023-06-24T00:00:00'}, {'TournamentID': 552, 'RoundID': 19733, 'Number': 4, 'Day': '2023-06-25T00:00:00'}]"
551,U.S. Open,2023-06-15T00:00:00,2023-06-18T00:00:00,True,False,The Los Angeles Country Club (North Course),"Los Angeles, CA",70.0,7421.0,20000000.0,2023-06-15T09:45:00,False,True,Los Angeles,CA,,USA,America/Los Angeles,Stroke,2e80d5ad-468e-4833-aeda-85fb86c1098a,Full,"[{'TournamentID': 551, 'RoundID': 19726, 'Number': 1, 'Day': '2023-06-15T00:00:00'}, {'TournamentID': 551, 'RoundID': 19727, 'Number': 2, 'Day': '2023-06-16T00:00:00'}, {'TournamentID': 551, 'RoundID': 19728, 'Number': 3, 'Day': '2023-06-17T00:00:00'}, {'TournamentID': 551, 'RoundID': 19729, 'Number': 4, 'Day': '2023-06-18T00:00:00'}]"
550,RBC Canadian Open,2023-06-08T00:00:00,2023-06-11T00:00:00,True,False,Oakdale Golf & Country Club,"Toronto, Ontario, Can",72.0,7264.0,9000000.0,2023-06-08T07:00:00,False,True,"Toronto, Ontario",,,CAN,America/Toronto,Stroke,2cb99584-0bb2-487f-a050-b05fa9502107,Full,"[{'TournamentID': 550, 'RoundID': 19722, 'Number': 1, 'Day': '2023-06-08T00:00:00'}, {'TournamentID': 550, 'RoundID': 19723, 'Number': 2, 'Day': '2023-06-09T00:00:00'}, {'TournamentID': 550, 'RoundID': 19724, 'Number': 3, 'Day': '2023-06-10T00:00:00'}, {'TournamentID': 550, 'RoundID': 19725, 'Number': 4, 'Day': '2023-06-11T00:00:00'}]"
549,The Memorial Tournament pres. by Workday,2023-06-01T00:00:00,2023-06-04T00:00:00,True,False,Muirfield Village Golf Club,"Dublin, OH",72.0,7571.0,20000000.0,2023-06-01T07:00:00,False,True,Dublin,OH,,USA,America/New York,Stroke,,Full,"[{'TournamentID': 549, 'RoundID': 19718, 'Number': 1, 'Day': '2023-06-01T00:00:00'}, {'TournamentID': 549, 'RoundID': 19719, 'Number': 2, 'Day': '2023-06-02T00:00:00'}, {'TournamentID': 549, 'RoundID': 19720, 'Number': 3, 'Day': '2023-06-03T00:00:00'}, {'TournamentID': 549, 'RoundID': 19721, 'Number': 4, 'Day': '2023-06-04T00:00:00'}]"
548,Charles Schwab Challenge,2023-05-25T00:00:00,2023-05-28T00:00:00,True,False,Colonial Country Club,"Fort Worth, TX",70.0,7209.0,8700000.0,2023-05-25T08:20:00,False,True,Fort Worth,TX,,USA,America/Chicago,Stroke,,Full,"[{'TournamentID': 548, 'RoundID': 19714, 'Number': 1, 'Day': '2023-05-25T00:00:00'}, {'TournamentID': 548, 'RoundID': 19715, 'Number': 2, 'Day': '2023-05-26T00:00:00'}, {'TournamentID': 548, 'RoundID': 19716, 'Number': 3, 'Day': '2023-05-27T00:00:00'}, {'TournamentID': 548, 'RoundID': 19717, 'Number': 4, 'Day': '2023-05-28T00:00:00'}]"
547,PGA Championship,2023-05-18T00:00:00,2023-05-21T00:00:00,True,False,Oak Hill Country Club - East Course,"Rochester, NY",70.0,7394.0,17500000.0,2023-05-18T07:00:00,False,True,Rochester,NY,,USA,America/New York,Stroke,0262529f-2ea5-4f77-b1ed-42c4d81e09ea,Full,"[{'TournamentID': 547, 'RoundID': 19710, 'Number': 1, 'Day': '2023-05-18T00:00:00'}, {'TournamentID': 547, 'RoundID': 19711, 'Number': 2, 'Day': '2023-05-19T00:00:00'}, {'TournamentID': 547, 'RoundID': 19712, 'Number': 3, 'Day': '2023-05-20T00:00:00'}, {'TournamentID': 547, 'RoundID': 19713, 'Number': 4, 'Day': '2023-05-21T00:00:00'}]"
546,AT&T Byron Nelson,2023-05-11T00:00:00,2023-05-14T00:00:00,True,False,TPC Craig Ranch,"McKinney, TX",71.0,7414.0,9500000.0,2023-05-11T07:50:00,False,True,McKinney,TX,,USA,America/Chicago,Stroke,5d65bd76-7547-4693-99cd-33e2dc3c30f2,Full,"[{'TournamentID': 546, 'RoundID': 19706, 'Number': 1, 'Day': '2023-05-11T00:00:00'}, {'TournamentID': 546, 'RoundID': 19707, 'Number': 2, 'Day': '2023-05-12T00:00:00'}, {'TournamentID': 546, 'RoundID': 19708, 'Number': 3, 'Day': '2023-05-13T00:00:00'}, {'TournamentID': 546, 'RoundID': 19709, 'Number': 4, 'Day': '2023-05-14T00:00:00'}]"
545,Wells Fargo Championship,2023-05-04T00:00:00,2023-05-07T00:00:00,True,False,Quail Hollow Club,"Charlotte, NC",71.0,7538.0,20000000.0,2023-05-04T06:50:00,False,True,Charlotte,NC,,USA,America/New York,Stroke,b9a5a65b-f098-48e7-b9a3-a3fbd1d47b72,Full,"[{'TournamentID': 545, 'RoundID': 19702, 'Number': 1, 'Day': '2023-05-04T00:00:00'}, {'TournamentID': 545, 'RoundID': 19703, 'Number': 2, 'Day': '2023-05-05T00:00:00'}, {'TournamentID': 545, 'RoundID': 19704, 'Number': 3, 'Day': '2023-05-06T00:00:00'}, {'TournamentID': 545, 'RoundID': 19705, 'Number': 4, 'Day': '2023-05-07T00:00:00'}]"
